songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
EmotionsMariah Carey,Emotions,Mariah Carey,1.0,1991-08-31,1992-01-11,1991-09-28,1991-11-09,4.0,7.0,9.0,7.0,7.75,3.5555555555555554,18.8,20.0,1.0,5
"I'll Remember (From ""With Honors"")Madonna","I'll Remember (From ""With Honors"")",Madonna,2.0,1994-04-02,1994-09-24,1994-05-07,1994-07-09,5.0,10.0,11.0,10.0,5.6,3.909090909090909,16.26923076923077,26.0,1.0,8
FinesseBruno Mars & Cardi B,Finesse,Bruno Mars & Cardi B,3.0,2018-01-13,2018-06-16,2018-01-20,2018-04-21,1.0,14.0,8.0,14.0,32.0,5.0,15.26086956521739,23.0,1.0,8
Every Breath You TakeThe Police,Every Breath You Take,The Police,1.0,1983-06-04,1983-10-29,1983-06-25,1983-09-17,3.0,13.0,6.0,13.0,10.666666666666666,14.333333333333334,15.772727272727273,22.0,1.0,5
Nobody Told MeJohn Lennon,Nobody Told Me,John Lennon,5.0,1984-01-21,1984-04-21,1984-02-25,1984-03-17,5.0,4.0,5.0,4.0,5.8,17.8,30.071428571428573,14.0,1.0,9
Dress You UpMadonna,Dress You Up,Madonna,5.0,1985-08-17,1985-11-30,1985-09-21,1985-10-12,5.0,4.0,7.0,4.0,5.2,12.857142857142858,33.9375,16.0,1.0,2
Love Is A Wonderful ThingMichael Bolton,Love Is A Wonderful Thing,Michael Bolton,4.0,1991-04-20,1991-08-10,1991-05-25,1991-06-29,5.0,6.0,6.0,6.0,5.4,15.0,31.941176470588236,17.0,1.0,2
It's Your LoveTim McGraw With Faith Hill,It's Your Love,Tim McGraw With Faith Hill,7.0,1997-05-17,1997-09-27,1997-06-07,1997-07-19,3.0,7.0,10.0,6.0,9.0,4.8,22.1,20.0,1.0,5
How's It Going To BeThird Eye Blind,How's It Going To Be,Third Eye Blind,9.0,1997-12-06,1998-11-28,1998-02-14,1998-02-14,10.0,1.0,41.0,1.0,2.7,0.9512195121951219,30.096153846153847,52.0,1.0,3
LatelyDivine,Lately,Divine,1.0,1998-09-12,1999-03-13,1998-10-24,1999-01-23,6.0,14.0,7.0,14.0,4.333333333333333,5.857142857142857,14.407407407407407,27.0,1.0,8
"Hot BoyzMissy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5.0,1999-11-27,2000-04-15,1999-12-18,2000-02-26,3.0,11.0,7.0,10.0,9.0,4.0,14.333333333333334,21.0,1.0,5
Lovers And FriendsLil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,3.0,2004-11-27,2005-04-23,2004-12-11,2005-03-12,2.0,14.0,6.0,14.0,13.0,6.0,13.272727272727273,22.0,1.0,5
He'll Have To StayJeanne Black,He'll Have To Stay,Jeanne Black,4.0,1960-04-30,1960-07-09,1960-05-14,1960-06-18,2.0,6.0,3.0,6.0,13.5,13.333333333333334,17.90909090909091,11.0,1.0,2
Love You Inside OutBee Gees,Love You Inside Out,Bee Gees,1.0,1979-04-21,1979-08-25,1979-05-19,1979-06-16,4.0,5.0,10.0,5.0,7.75,9.5,35.63157894736842,19.0,1.0,5
King Of PainThe Police,King Of Pain,The Police,3.0,1983-08-27,1983-12-10,1983-10-01,1983-10-29,5.0,5.0,6.0,5.0,6.2,15.333333333333334,27.625,16.0,1.0,2
I Just Can't Stop Loving YouMichael Jackson With Siedah Garrett,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,1.0,1987-08-08,1987-11-07,1987-08-22,1987-09-26,2.0,6.0,6.0,6.0,13.5,16.0,27.785714285714285,14.0,1.0,2
EscapadeJanet Jackson,Escapade,Janet Jackson,1.0,1990-01-20,1990-05-12,1990-02-10,1990-03-31,3.0,8.0,6.0,8.0,9.333333333333334,15.333333333333334,23.941176470588236,17.0,1.0,2
NobodyKeith Sweat Featuring Athena Cage,Nobody,Keith Sweat Featuring Athena Cage,3.0,1996-10-05,1997-05-31,1996-11-09,1997-03-08,5.0,18.0,12.0,18.0,5.4,3.25,17.0,35.0,1.0,8
Get It Together702,Get It Together,702,10.0,1997-02-15,1997-06-28,1997-03-22,1997-03-22,5.0,1.0,14.0,1.0,5.4,3.357142857142857,26.45,20.0,1.0,7
Hard To Say I'm SorryAz Yet Featuring Peter Cetera,Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera,8.0,1997-02-22,1997-10-11,1997-06-07,1997-06-07,15.0,1.0,18.0,5.0,1.8,2.1666666666666665,20.205882352941178,34.0,1.0,4
